predicted_class,probability,class_name,created_at,input_data
2,0.9858331406709282,,2026-07-01 19:06:45.969346+00:00,"{'features': [7.7, 3.0, 6.1, 2.3]}"
1,0.9428877423683346,,2026-07-01 19:06:45.948380+00:00,"{'features': [5.5, 2.4, 3.8, 1.1]}"
1,0.7597348282380043,,2026-07-01 19:06:45.925693+00:00,"{'features': [6.0, 2.9, 4.5, 1.5]}"
1,0.9999680488215357,,2026-07-01 19:06:45.868030+00:00,"{'features': [51.0, 3.5, 1.4, 0.2]}"
1,0.9866341724168554,,2026-07-01 18:34:40.266206+00:00,"{'features': [7.7, 2.7, 1.1, 1.6]}"
2,0.9430500401426382,,2026-07-01 18:34:40.180301+00:00,"{'features': [6.1, 2.3, 4.6, 2.3]}"
1,0.9008168826886918,,2026-07-01 18:34:40.094449+00:00,"{'features': [7.4, 4.0, 3.9, 1.1]}"
1,0.9650445654613163,,2026-07-01 18:34:40.009995+00:00,"{'features': [6.5, 2.4, 1.4, 1.1]}"
1,0.9123941965020805,,2026-07-01 18:34:39.929479+00:00,"{'features': [5.5, 2.0, 4.1, 1.2]}"
1,0.9929652971567019,,2026-07-01 18:34:39.843581+00:00,"{'features': [7.6, 2.6, 2.0, 1.1]}"
0,0.8001403857186253,,2026-07-01 18:34:39.741813+00:00,"{'features': [4.3, 3.6, 4.4, 1.6]}"
0,0.7441472111792072,,2026-07-01 18:34:39.651895+00:00,"{'features': [6.7, 4.3, 1.7, 1.9]}"
1,0.8949335084545118,,2026-07-01 18:34:39.567876+00:00,"{'features': [7.2, 2.8, 1.2, 2.2]}"
0,0.8895704493951216,,2026-07-01 18:34:39.483523+00:00,"{'features': [4.7, 3.2, 1.4, 1.7]}"
1,0.6861034876145925,,2026-07-01 18:34:39.381464+00:00,"{'features': [6.6, 3.4, 3.3, 2.0]}"
0,0.6213973680961745,,2026-07-01 18:34:39.293750+00:00,"{'features': [5.8, 3.4, 2.2, 1.1]}"
1,0.7530032709781624,,2026-07-01 18:34:39.208462+00:00,"{'features': [7.0, 3.7, 3.4, 0.3]}"
2,0.9940387872833436,,2026-07-01 18:34:39.123735+00:00,"{'features': [4.7, 2.2, 6.4, 2.3]}"
0,0.8523364794331786,,2026-07-01 18:34:39.037262+00:00,"{'features': [5.3, 4.3, 4.0, 1.8]}"
1,0.8274072433701979,,2026-07-01 18:34:38.951887+00:00,"{'features': [6.2, 3.2, 3.8, 1.6]}"
1,0.5747977839331215,,2026-07-01 18:34:38.851465+00:00,"{'features': [5.9, 3.3, 2.9, 0.8]}"
1,0.5270904168589787,,2026-07-01 18:34:38.766257+00:00,"{'features': [7.2, 3.8, 2.7, 2.4]}"
2,0.8713218298952708,,2026-07-01 18:34:38.680702+00:00,"{'features': [5.6, 3.9, 5.6, 2.1]}"
1,0.9112863008917533,,2026-07-01 18:34:38.597288+00:00,"{'features': [6.4, 2.8, 1.5, 1.9]}"
2,0.976078203549662,,2026-07-01 18:34:38.511377+00:00,"{'features': [6.8, 3.3, 6.2, 2.2]}"
0,0.9500054696719145,,2026-07-01 18:34:38.427223+00:00,"{'features': [5.2, 4.1, 2.5, 1.7]}"
0,0.9756729194064602,,2026-07-01 18:34:38.341977+00:00,"{'features': [5.2, 4.2, 3.7, 0.4]}"
1,0.7822014540717328,,2026-07-01 18:34:38.254654+00:00,"{'features': [7.8, 2.8, 1.6, 2.3]}"
1,0.5797695185202922,,2026-07-01 18:34:38.169965+00:00,"{'features': [6.9, 3.0, 4.9, 1.6]}"
0,0.5493794958320148,,2026-07-01 18:34:38.084006+00:00,"{'features': [5.3, 3.8, 5.7, 0.6]}"
1,0.505069905169278,,2026-07-01 18:34:37.998628+00:00,"{'features': [5.4, 3.2, 3.1, 1.0]}"
